Brand,Tyre Name,Witdh,Cross Session( Height ),Diameter,Type
CONTINENTAL,MaxContact 5 MC5,215,55,16,CAR
CONTINENTAL,SportContact 5 SC5 SSR,255,40,18,CAR
CONTINENTAL,MaxContact 6 MC6,245,45,18,CAR
CONTINENTAL,UltraContact 6 UC6,225,55,19,CAR
CONTINENTAL,CrosContact LX2 CCLX2,265,65,17,CAR
CONTINENTAL,UltraContact 6 UC6,195,50,16,CAR
CONTINENTAL,SportContact 5 SC5 SSR,225,55,18,CAR
CONTINENTAL,MaxContact 5 MC5,205,55,16,CAR
CONTINENTAL,ComfortContact 6 CC6,195,60,15,CAR
CONTINENTAL,MaxContact 6 MC6,235,40,18,CAR
CONTINENTAL,UltraContact 6 UC6,225,55,18,CAR
CONTINENTAL,UltraContact 6 UC6,245,50,18,CAR
CONTINENTAL,MaxContact 6 MC6,245,40,19,CAR
CONTINENTAL,SportContact 5 SC5 SSR SUV,235,50,18,SUV
CONTINENTAL,SportContact 3 SC3 SSR,245,50,18,CAR
CONTINENTAL,ContiPremiumContact 2 CPC2 CS,225,50,17,CAR
CONTINENTAL,ContiCrossContact LX Sport ,225,65,16,CAR
CONTINENTAL,SportContact 5 SC5 SSR,225,50,18,CAR
CONTINENTAL,MaxContact 6 MC6,225,55,17,CAR
CONTINENTAL,ComfortContact 6 CC6,195,65,15,CAR
CONTINENTAL,213 FR????,275,40,22,CAR
CONTINENTAL,UltraContact 6 UC6,235,65,17,CAR
CONTINENTAL,ContiSportContact 5P CSC5P,245,40,20,CAR
CONTINENTAL,SportContact 5 SC5 SSR,285,45,19,CAR
CONTINENTAL,UltraContact 6 UC6,215,65,16,CAR
CONTINENTAL,ComfortContact 6 CC6,165,60,14,CAR
CONTINENTAL,UltraContact 6 UC6,205,50,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,60,18,CAR
CONTINENTAL,221,225,45,17,CAR
CONTINENTAL,222,245,40,17,CAR
CONTINENTAL,ComfortContact 6 CC6,205,65,15,CAR
CONTINENTAL,SportContact 5 SC5 SSR SUV,235,45,19,CAR
CONTINENTAL,ComfortContact 6 CC6,215,55,16,CAR
CONTINENTAL,ComfortContact 6 CC6,205,60,16,CAR
CONTINENTAL,ComfortContact 6 CC6,215,60,16,CAR
CONTINENTAL,ComfortContact 6 CC6,215,65,16,CAR
CONTINENTAL,ContiPremiumContact 2 CPC2,185,55,15,CAR
CONTINENTAL,ContiPremiumContact 2 CPC2,195,50,16,CAR
CONTINENTAL,ContiPremiumContact 2 CPC2,215,55,17,CAR
CONTINENTAL,UltraContact 6 UC6,185,55,15,CAR
CONTINENTAL,UltraContact 6 UC6,185,55,16,CAR
CONTINENTAL,UltraContact 6 UC6,205,50,16,CAR
CONTINENTAL,UltraContact 6 UC6,205,55,16,CAR
CONTINENTAL,UltraContact 6 UC6,205,60,16,CAR
CONTINENTAL,UltraContact 6 UC6,215,55,16,CAR
CONTINENTAL,UltraContact 6 UC6,225,55,16,CAR
CONTINENTAL,UltraContact 6 UC6,215,60,16,CAR
CONTINENTAL,UltraContact 6 UC6,215,45,17,CAR
CONTINENTAL,UltraContact 6 UC6,215,50,17,CAR
CONTINENTAL,UltraContact 6 UC6,215,55,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,45,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,50,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,55,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,45,18,CAR
CONTINENTAL,UltraContact 6 UC6,225,50,18,CAR
CONTINENTAL,UltraContact 6 UC6,235,50,18,CAR
CONTINENTAL,UltraContact 6 UC6,235,55,18,CAR
CONTINENTAL,Conti4x4Contact C4x4C,205,70,15,SUV
CONTINENTAL,ContiSportContact 3 CSC3,245,45,17,CAR
CONTINENTAL,ContiCrossContact LX Sport LX2,225,65,17,CAR
CONTINENTAL,ContiCrossContact LX Sport LXSP,225,65,17,CAR
CONTINENTAL,ContiCrossContact LX Sport LX2,235,60,18,CAR
CONTINENTAL,ContiCrossContact LX Sport LX2,235,65,17,CAR
CONTINENTAL,MaxContact 5 MC5,215,60,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,60,17,CAR
CONTINENTAL,MaxContact 5 MC5,215,55,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,55,17,CAR
CONTINENTAL,MaxContact 5 MC5,205,50,16,CAR
CONTINENTAL,MaxContact 5 MC5,215,50,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,50,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,50,18,CAR
CONTINENTAL,MaxContact 5 MC5,235,50,18,CAR
CONTINENTAL,MaxContact 5 MC5,225,55,19,CAR
CONTINENTAL,MaxContact 5 MC5,205,45,16,CAR
CONTINENTAL,MaxContact 5 MC5,205,45,17,CAR
CONTINENTAL,MaxContact 5 MC5,215,45,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,45,17,CAR
CONTINENTAL,MaxContact 5 MC5,235,45,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,45,18,CAR
CONTINENTAL,MaxContact 5 MC5,235,45,18,CAR
CONTINENTAL,MaxContact 5 MC5,245,45,18,CAR
CONTINENTAL,MaxContact 5 MC5,205,40,17,CAR
CONTINENTAL,MaxContact 5 MC5,245,40,17,CAR
CONTINENTAL,MaxContact 5 MC5,225,40,18,CAR
CONTINENTAL,MaxContact 5 MC5,235,40,18,CAR
CONTINENTAL,MaxContact 5 MC5,245,40,18,CAR
CONTINENTAL,MaxContact 5 MC5,235,55,18,CAR
CONTINENTAL,MaxContact 5 MC5,265,35,18,CAR
CONTINENTAL,MaxContact 6 MC6,215,45,17,CAR
CONTINENTAL,MaxContact 6 MC6,235,50,18,CAR
CONTINENTAL,ContiPremiumContact 2 CPC2 SSR,225,55,17,CAR
CONTINENTAL,UltraContact 6 UC6,235,60,16,CAR
CONTINENTAL,MaxContact 6 MC6,205,45,17,CAR
CONTINENTAL,MaxContact 6 MC6,225,50,17,CAR
CONTINENTAL,MaxContact 6 MC6,205,40,17,CAR
CONTINENTAL,UltraContact 6 UC6,195,55,15,CAR
CONTINENTAL,MaxContact 6 MC6,225,40,18,CAR
CONTINENTAL,CC UHP,225,50,19,CAR
CONTINENTAL,MaxContact 6 MC6,235,45,18,CAR
CONTINENTAL,MaxContact 6 MC6,225,45,18,CAR
CONTINENTAL,ComfortContact 6 CC6,185,55,16,CAR
CONTINENTAL,MaxContact 6 MC6,215,55,17,CAR
CONTINENTAL,MaxContact 6 MC6,225,45,17,CAR
CONTINENTAL,MaxContact 6 MC6,245,40,18,CAR
CONTINENTAL,MaxContact 6 MC6,265,35,18,CAR
CONTINENTAL,MaxContact 6 MC6,235,55,18,CAR
CONTINENTAL,CC UHP,255,50,19,CAR
CONTINENTAL,MaxContact 6 MC6,215,50,17,CAR
CONTINENTAL,,195,15,,
CONTINENTAL,UltraContact 6 UC6,225,60,17,CAR
CONTINENTAL,MaxContact 6 MC6,245,40,17,CAR
CONTINENTAL,MaxContact 6 MC6,235,45,17,CAR
CONTINENTAL,UltraContact 6 UC6,225,60,16,CAR
